Surface,Chambres,AnneeConstruction,DistanceCentreVille,QualiteQuartier,Prix
272.15,3,1995,1155.57,9,261973.0
101.39,3,1994,3769.12,2,379145.0
202.15,2,2002,1433.57,4,336256.6726666667
183.48,3,2021,2448.52,2,320238.0
144.42,3,2005,3409.73,8,360910.0
123.97,3,1990,1723.68,9,276005.0
167.52,2,2002,2228.48,3,313317.0
288.58,4,2000,3803.67,9,396584.0
164.64,4,1997,4720.6,6,432496.0
203.76,3,2014,2881.6,6,336256.6726666667
240.6,2,2021,544.87,7,230433.0
172.73,3,2013,2023.09,5,296943.0
294.36,4,2017,2293.85,6,325846.0
292.49,2,2003,2026.28,1,311156.0
150.36,4,1992,2463.21,3,320378.0
199.45,4,2016,3347.0,9,367011.0
160.18,2,2009,1045.08,5,253590.0
156.97,2,2004,1726.84,5,283481.0
107.38,3,2016,2784.42,8,325922.0
221.91,3,2017,1920.08,2,301668.0
200.54,4,2014,4959.88,7,447315.0
110.3,2,2022,2441.44,9,316934.0
155.73,2,2003,4414.1,7,336256.6726666667
281.65,3,1997,4534.29,5,432264.0
147.91,4,2003,4262.03,6,409463.0
128.98,4,1990,711.04,4,228072.0
197.89,3,2005,4764.86,7,436440.0
297.13,2,2007,1079.34,1,253854.0
148.41,3,1996,654.82,4,224203.0
234.43,3,2004,2364.66,3,316995.0
252.32,3,2013,1375.85,4,266922.0
147.53,3,2002,1328.88,1,258008.0
245.64,2,1998,1795.19,2,297653.0
173.56,3,2004,1617.83,9,336256.6726666667
226.46,2,2013,3581.58,7,378015.0
226.71,3,2022,1340.5,6,336256.6726666667
207.15,4,2005,2944.03,2,344766.0
118.06,2,1997,4938.92,1,439960.0
267.06,4,2018,2445.72,2,328736.0
164.16,3,2012,3388.43,7,363175.0
137.3,3,2020,4862.17,2,434861.0
108.16,3,2003,1119.38,3,249502.0
218.18,2,2019,2383.73,8,324746.0
235.51,4,2016,4325.87,7,416170.0
103.32,2,2005,4695.38,9,424557.0
202.42,2,1995,3205.56,4,336256.6726666667
145.3,3,2022,1145.39,7,336256.6726666667
229.03,4,2007,4556.62,1,432544.0
134.87,3,2005,1285.01,2,256517.0
238.19,2,2001,2087.95,7,312139.0
177.35,3,2009,2189.79,2,309799.0
287.35,4,2018,2512.81,6,330843.0
127.5,3,2019,4055.75,9,395958.0
168.21,4,2015,4109.65,5,398922.0
122.69,4,2011,3738.45,7,377960.0
284.94,3,2022,599.58,1,239451.0
275.47,2,2018,3041.8,8,358930.0
151.59,3,2011,3863.72,9,394342.0
232.0,2,2002,2500.81,5,322775.0
263.44,2,1998,4752.21,6,441631.0
211.04,3,2013,4207.15,8,409039.0
205.93,2,2004,3371.7,4,366720.0
148.37,2,2002,780.91,2,232895.0
118.62,3,2016,3435.56,8,361748.0
279.44,3,1996,4602.11,2,438354.0
280.08,3,1997,2207.5,5,321251.0
226.62,2,2003,4271.6,6,407579.0
167.81,4,2001,1909.23,5,336256.6726666667
169.84,2,2006,3065.46,6,356839.0
245.19,4,2018,3417.91,6,374932.0
279.42,3,2016,3550.98,3,381940.0
277.42,4,1990,4471.47,3,426955.0
255.98,3,1993,1555.8,9,336256.6726666667
228.41,3,2013,1680.66,3,286836.0
116.83,4,2010,3668.18,3,373571.0
132.33,3,2022,1297.37,2,257804.0
279.71,4,1996,2589.22,7,332337.0
221.29,3,1990,590.15,4,228138.0
101.84,2,1992,1134.41,1,244569.0
120.29,2,2004,3554.81,6,369110.0
232.7,3,2020,3863.58,5,391091.0
101.01,3,2005,1018.94,2,239633.0
132.16,4,1999,1524.69,6,268125.0
209.75,2,2018,945.07,1,247645.0
238.38,4,1995,2450.36,3,328498.0
230.39,3,2018,1067.52,4,255012.0
144.85,3,2006,2467.83,3,313451.0
242.44,4,2011,3794.44,6,393058.0
147.45,3,2013,3575.25,4,370912.0
165.08,2,2006,1762.07,1,281237.0
249.3,4,2010,3531.93,5,379176.0
229.93,2,2000,4674.7,5,433310.0
269.84,2,1996,2063.86,9,304763.0
231.52,2,1994,1981.04,8,298783.0
213.66,4,2010,3071.47,8,355350.0
118.73,3,2007,1604.76,5,271860.0
173.54,2,2009,3432.11,8,365196.0
153.04,2,2004,4245.18,7,404151.0
148.8,2,1994,2566.93,1,322108.0
294.6,3,2002,3557.78,7,382156.0
178.62,3,2001,3433.48,8,365784.0
278.41,4,2010,674.0,3,237974.0
226.23,3,1995,1325.37,9,264249.0
258.96,4,1996,4520.89,8,430273.0
200.53,4,2015,4725.01,2,434455.0
215.38,4,1997,4011.98,6,404756.0
198.5,4,1998,4645.62,4,427161.0
139.05,4,2016,1877.67,3,291020.0
244.49,2,1993,1614.7,6,283661.0
156.15,3,2010,2229.35,9,336256.6726666667
104.86,2,2020,749.04,2,232045.0
229.09,4,2010,4144.42,5,336256.6726666667
135.42,3,2014,4928.79,6,435546.0
288.09,2,2004,4208.13,4,416442.0
290.79,2,2017,2997.39,7,351331.0
282.97,4,2003,1828.77,2,299485.0
174.03,2,1993,1389.64,7,265859.0
103.09,2,2009,2138.28,2,295045.0
285.66,2,2001,3501.36,1,379709.0
185.64,2,2022,2511.78,5,320550.0
293.33,2,2013,4703.27,2,442277.0
292.72,4,2009,4343.99,8,421708.0
270.6,4,1994,960.8,8,252823.0
158.89,2,2019,1091.86,1,250952.0
177.02,4,2013,3543.08,4,376136.0
270.23,4,1996,1538.46,9,283250.0
163.38,3,2005,4059.63,5,397526.0
133.9,2,2004,3161.11,6,352089.0
211.36,4,2012,1534.24,3,336256.6726666667
287.23,4,2001,2654.09,5,339606.0
239.21,2,2018,2327.34,1,315777.0
214.01,3,2004,4429.22,8,417822.0
119.44,2,2018,644.73,6,224970.0
223.0,3,2010,4531.3,2,428879.0
298.01,2,2004,3434.37,4,377226.0
128.02,2,2003,3818.92,4,386501.0
203.67,2,2005,511.73,9,231397.0
275.47,2,2004,3327.08,9,377207.0
248.15,3,1993,3148.19,5,359198.0
239.4,3,2016,2917.43,3,347193.0
240.5,4,2012,4036.4,1,406735.0
171.9,2,2018,3001.42,6,348789.0
158.72,3,1998,4356.94,8,409397.0
261.87,3,1996,1546.84,1,280359.0
262.02,3,1993,4126.92,1,411967.0
273.41,2,1994,1306.91,7,267564.0
282.65,4,1994,4159.03,7,411646.0
202.27,3,2000,4732.09,2,433413.0
200.3,2,2017,2010.62,3,298380.0
259.66,3,2005,2884.49,2,336256.6726666667
229.99,3,2019,3462.48,6,377247.0
240.39,4,1993,857.62,8,242814.0
259.16,3,1991,2723.36,8,340425.0
278.0,3,1992,2122.63,1,336256.6726666667
167.6,2,2010,4426.05,9,414391.0
175.12,2,1995,4445.06,8,413105.0
118.8,4,2007,3653.51,9,374745.0
215.66,2,1994,3450.76,9,371040.0
107.19,2,1998,3801.6,6,336256.6726666667
193.12,4,2009,2146.94,3,336256.6726666667
208.53,3,2017,2320.34,1,309683.0
157.31,4,2015,2991.67,8,344428.0
218.17,2,2007,4721.13,3,439437.0
106.1,4,2008,3758.0,7,382811.0
107.47,3,1992,2979.45,6,333413.0
264.52,4,1998,3966.86,3,406056.0
172.04,2,2020,2169.01,6,302196.0
125.41,2,2006,3787.1,3,383340.0
204.45,4,2012,2348.04,9,315466.0
254.0,3,1994,1758.48,1,293119.0
143.16,4,2004,3243.76,8,336256.6726666667
224.58,3,1992,3590.95,5,375659.0
117.07,3,2008,2566.82,4,317938.0
110.34,4,2017,3044.75,1,344899.0
206.27,3,1992,3623.3,9,378877.0
208.13,2,1993,3954.7,9,336256.6726666667
227.49,4,2013,4530.07,5,424313.0
245.22,3,2020,2095.45,9,305949.0
295.17,2,2000,4781.65,9,443834.0
203.26,4,1990,3367.76,7,336256.6726666667
164.59,2,1998,4044.66,8,396370.0
259.04,2,2006,3648.96,1,336256.6726666667
154.17,2,1990,1425.07,4,264579.0
187.79,3,1992,821.47,4,239760.0
115.69,4,2015,3768.29,9,382168.0
105.07,4,2020,2799.74,3,329193.0
292.53,3,2015,3659.96,1,389469.0
267.2,4,2012,2645.79,5,339375.0
239.19,2,2019,1905.06,7,336256.6726666667
181.79,4,1999,1782.58,4,284388.0
134.66,3,1997,3787.39,9,384025.0
131.29,2,2014,1745.51,6,278420.0
150.05,3,2011,3716.05,6,381075.0
209.85,2,2004,2227.82,3,306039.0
242.92,2,1999,3969.04,5,402466.0
232.04,4,2009,1142.64,6,258453.0
155.99,2,2012,1422.41,4,267250.0
290.97,3,1990,3586.6,3,388910.0
247.58,4,1991,3021.04,5,352603.0
210.87,3,2008,1417.45,7,266205.0
222.34,2,2003,4562.72,6,427671.0
183.92,3,1997,1741.75,2,287549.0
149.55,3,2001,2394.82,1,314085.0
171.19,2,2015,1410.3,5,263769.0
251.57,4,2016,2246.12,5,315636.0
102.88,3,2018,2712.41,6,327648.0
123.21,2,2004,1828.61,3,282643.0
109.2,4,1990,3960.92,1,387446.0
108.15,4,2017,2272.7,4,302487.0
271.09,4,1992,3782.79,4,391897.0
240.73,3,2007,1431.82,2,274589.0
194.83,3,2021,2196.66,8,310370.0
119.57,3,2018,536.26,6,218359.0
198.32,4,2014,3913.87,3,393150.0
194.69,3,2015,3316.49,1,366551.0
134.64,2,1997,4180.2,3,400077.0
186.77,3,2008,2550.25,8,336256.6726666667
179.7,3,2011,4098.83,4,403639.0
223.17,4,2018,3414.12,3,368249.0
227.02,3,2022,516.26,4,228029.0
109.06,2,1992,1641.62,4,263874.0
174.92,4,2008,2722.51,2,332361.0
225.17,2,1999,3284.09,4,366558.0
200.63,4,2016,795.16,9,240295.0
271.3,4,2004,3672.86,4,391200.0
231.74,3,2000,2945.91,1,349538.0
132.59,2,2015,2866.01,1,334447.0
114.11,4,2013,1814.21,1,336256.6726666667
228.48,3,2002,3176.7,5,360353.0
105.3,4,2021,623.72,6,223619.0
217.16,4,1993,791.15,6,234229.0
288.05,4,2002,3802.42,6,398017.0
215.09,4,1998,1948.51,9,297797.0
177.63,4,1996,2061.35,1,298230.0
228.66,4,1990,1437.73,6,274065.0
191.65,3,2001,2505.29,8,336256.6726666667
209.12,4,2010,733.97,8,235681.0
288.29,2,2000,1851.63,3,295054.0
177.22,3,2003,2872.06,5,341422.0
292.24,2,2014,2595.34,4,333100.0
281.07,4,1993,4998.51,1,453320.0
139.16,2,2015,2249.44,9,307604.0
113.87,4,2005,2241.5,5,302651.0
120.16,4,1999,2766.12,2,334688.0
103.64,3,1991,1356.36,2,258949.0
118.89,3,2008,4443.37,7,416078.0
236.6,4,1995,3075.21,4,336256.6726666667
114.24,3,2008,1364.48,1,258437.0
163.8,2,1997,4070.49,5,396991.0
268.98,3,2003,654.49,2,233796.0
104.65,3,1999,4921.54,7,431730.0
262.89,2,1992,4393.17,9,427081.0
156.37,3,2018,3108.38,1,348681.0
123.63,4,2004,1000.83,2,244490.0
239.35,2,2012,1468.73,6,271532.0
225.79,4,2012,1757.46,8,288906.0
275.49,2,2007,1584.64,7,288649.0
247.01,4,2008,2738.84,9,341121.0
260.7,4,2017,4750.52,2,443027.0
156.41,3,2015,2498.78,9,336256.6726666667
135.49,4,1999,3477.04,4,363878.0
250.12,3,1993,3598.62,3,382462.0
261.37,2,1991,4422.11,7,421432.0
298.1,4,1992,652.2,5,239427.0
182.52,4,1996,2319.49,5,315815.0
174.4,2,2005,4031.31,2,393950.0
255.28,2,2020,4166.9,6,414537.0
168.16,4,1999,4673.0,6,432412.0
286.15,2,2008,3662.57,4,388811.0
271.68,3,2017,1603.19,5,285926.0
185.8,2,2006,2775.5,7,334839.0
250.17,2,2017,645.55,8,336256.6726666667
250.91,4,2008,3411.18,6,376595.0
120.62,3,2012,2994.33,5,343762.0
280.51,2,2009,3500.76,3,382164.0
201.05,3,2002,4685.63,7,434915.0
265.29,3,2002,3592.74,8,384878.0
164.01,3,2000,1942.02,3,288616.0
279.1,4,2004,1394.31,5,278816.0
177.84,2,2006,4345.86,2,411148.0
102.17,4,2017,1374.49,4,258879.0
281.08,2,2008,1227.24,4,269929.0
118.26,2,1993,1429.75,8,258237.0
163.86,4,2011,2789.78,3,337080.0
290.01,3,2011,1058.84,5,256442.0
290.12,3,2022,4721.53,5,445387.0
214.69,2,2022,4848.14,2,336256.6726666667
226.37,4,2001,4882.11,9,443136.0
189.69,3,1991,676.06,4,336256.6726666667
158.64,3,2017,4757.89,9,433815.0
165.73,2,1999,4988.37,9,442237.0
234.5,2,2011,4740.93,2,432350.0
250.47,4,2006,3519.23,9,379498.0
258.32,2,2015,3655.54,9,388271.0
257.92,3,1992,1050.14,2,254799.0
118.24,3,1996,4434.34,6,413123.0
198.88,3,1997,768.38,9,240080.0
111.51,3,2009,1929.79,4,286297.0
209.91,4,2001,4960.18,2,446741.0
188.31,4,2006,2400.48,7,317883.0
277.54,2,2017,1090.2,9,259867.0
170.18,2,1999,4861.83,6,437917.0
123.41,2,2011,4928.63,4,443494.0
128.6,4,2022,1341.69,1,260346.0
252.3,3,2011,4391.62,4,422323.0
223.64,2,2002,2256.9,3,317546.0
120.22,3,2016,2216.16,7,306159.0
116.82,2,2004,1682.14,5,277094.0
240.19,2,2011,701.2,3,235628.0
114.55,2,2019,1706.04,2,284859.0
264.37,2,2008,742.0,2,236806.0
241.25,2,1997,4659.67,5,429672.0
116.27,3,2022,3477.74,8,367065.0
116.97,2,2017,4489.8,8,415217.0
297.33,3,2014,3727.81,5,386814.0
174.85,4,2006,1090.79,2,250574.0
174.13,2,2013,4732.62,4,433449.0
262.56,3,2010,4549.52,7,336256.6726666667
289.45,4,1991,2066.34,6,336256.6726666667
297.2,4,2020,1001.9,7,256964.0
250.68,4,2022,3668.7,5,387090.0
175.25,3,2019,3777.63,2,389723.0
116.7,2,2001,4535.73,8,420796.0
255.43,2,2001,736.95,2,239540.0
211.68,3,2013,1137.67,8,258784.0
184.84,2,2013,3192.12,7,359922.0
281.27,3,2000,3286.09,3,367241.0
122.24,2,2002,651.24,4,225025.0
198.53,4,2016,2286.19,7,314016.0
102.27,2,1997,3128.73,4,347884.0
193.73,3,1999,3820.6,9,386329.0
111.26,3,1997,1922.68,7,286560.0
123.76,4,2009,2677.57,1,323544.0
123.51,3,1997,4163.25,1,400490.0
229.84,2,1998,4792.53,4,438146.0
249.21,2,1996,1536.42,9,278094.0
216.67,4,2003,1638.69,4,282503.0
292.43,3,2017,4729.18,5,441172.0
174.97,4,1991,2281.6,1,305050.0
157.14,2,1997,3732.57,2,384059.0
273.72,4,2002,3255.19,4,366124.0
144.72,3,2010,1785.14,4,278967.0
292.64,4,2017,3441.03,6,376423.0
102.43,3,2012,3450.05,6,362487.0
293.98,3,2004,3165.99,8,370334.0
108.63,2,1991,948.47,9,237061.0
278.23,2,2001,4978.27,1,455983.0
205.54,2,1992,2301.87,1,312360.0
298.59,3,1994,3372.13,6,376382.0
114.76,4,1992,4485.93,4,414265.0
210.77,3,2008,2404.8,4,321725.0
293.86,2,1991,3982.66,1,402063.0
204.62,2,2006,4873.21,9,443182.0
225.88,4,2003,2115.21,3,307201.0
239.15,2,2017,2323.71,5,336256.6726666667
190.91,2,2016,4575.09,1,422779.0
225.51,2,1999,1218.39,8,336256.6726666667
216.86,4,1992,628.68,3,232964.0
280.23,3,2014,4590.0,1,436293.0
109.09,2,2011,4197.16,6,405808.0
156.19,4,2019,4876.62,1,437490.0
290.08,2,2010,762.07,3,238989.0
278.05,4,2019,1202.8,5,265156.0
191.13,2,2017,973.91,4,238981.0
224.03,4,2020,3575.37,7,382568.0
155.48,2,2015,3227.05,6,356426.0
137.62,3,2011,2117.01,3,300306.0
192.74,2,2010,758.41,8,237930.0
170.67,4,1990,3378.48,8,367784.0
216.73,2,2002,3065.54,2,345380.0
115.55,3,2010,1008.06,7,336256.6726666667
294.88,2,1998,4590.09,1,433937.0
297.24,4,2006,1395.27,2,276323.0
239.63,4,2010,3845.79,8,395635.0
207.22,3,2020,4482.84,1,424301.0
161.91,4,2011,3107.64,2,351401.0
262.76,2,2001,1610.82,1,279780.0
236.95,2,1995,1891.62,5,293762.0
132.52,2,2005,4485.86,7,415993.0
282.19,4,2015,1842.16,6,298333.0
264.51,2,1994,3857.86,6,395448.0
289.96,2,1998,4955.74,6,455056.0
245.14,2,2003,4999.18,8,449308.0
222.68,3,2019,2900.66,5,344921.0
183.65,4,2015,4219.5,7,410342.0
286.55,4,2018,4956.12,3,455459.0
273.21,4,2008,2186.03,9,313920.0
109.04,3,1997,1635.84,3,270869.0
105.27,4,2012,1014.05,6,239909.0
175.29,3,2020,1134.05,3,252708.0
262.11,3,2021,4341.0,1,336256.6726666667
297.46,4,1994,3149.25,1,363331.0
130.08,2,2005,4431.69,3,414719.0
218.83,2,2006,4052.55,4,403777.0
176.18,4,2021,3531.85,2,369830.0
293.98,4,2021,3241.9,9,375598.0
268.42,3,2009,717.53,8,336256.6726666667
267.67,4,1991,4425.24,3,426929.0
193.74,3,2009,2380.29,7,314231.0
182.96,4,2007,3019.04,4,352666.0
154.68,2,1990,598.79,5,336256.6726666667
111.28,2,2018,4712.33,4,427889.0
272.94,4,2018,4562.33,9,433694.0
262.58,3,2008,2944.75,7,346305.0
299.94,2,1995,3097.9,4,367068.0
299.33,3,1997,3672.58,8,393695.0
211.09,4,2013,1691.13,2,283590.0
253.8,4,2009,1498.62,7,280299.0
288.95,2,2003,3533.1,1,336256.6726666667
269.93,4,1994,969.9,8,247609.0
149.47,2,2005,2543.28,6,321356.0
190.11,3,1996,2717.42,5,330963.0
125.83,2,2005,2216.02,9,301518.0
290.81,2,1996,1333.71,9,273180.0
221.23,3,2016,2098.92,3,302370.0
145.73,2,2003,2019.01,9,294586.0
234.34,2,2003,2746.7,9,335873.0
223.63,4,2022,3536.06,2,381327.0
171.63,3,2022,4857.06,5,439414.0
122.71,2,2009,1148.73,2,250713.0
234.31,3,1996,4428.58,1,417374.0
204.06,3,2021,1778.8,7,290550.0
254.46,2,1992,3161.18,4,336256.6726666667
204.03,4,2018,2960.32,5,336256.6726666667
270.44,3,2013,3006.27,4,357225.0
210.38,2,2011,3755.11,6,386905.0
212.19,3,1995,2217.6,2,311288.0
275.33,4,2013,1935.95,8,307681.0
180.7,4,2012,4337.76,4,420950.0
126.8,4,1999,1490.43,8,267625.0
105.76,2,2005,1311.11,3,252555.0
251.03,2,2000,570.23,5,233414.0
224.06,4,2021,1447.6,3,270202.0
240.82,2,1995,2833.39,7,341810.0
142.59,4,2013,2923.29,3,338517.0
127.27,2,2022,1644.89,8,281292.0
102.91,4,2001,825.23,9,235680.0
170.12,3,2016,3850.88,2,336256.6726666667
217.98,4,2007,3910.89,3,398435.0
178.45,4,2002,4990.26,7,443658.0
187.49,2,2019,4550.13,5,426289.0
280.83,2,2002,4667.28,7,444772.0
169.65,2,2019,4091.92,2,402257.0
202.8,2,2014,3269.76,4,336256.6726666667
256.73,2,1991,1078.46,1,252079.0
179.31,2,2007,3300.41,5,364044.0
224.42,3,1994,751.8,8,235070.0
272.47,4,2008,4483.85,1,428802.0
289.9,4,2007,2668.2,7,344777.0
129.41,4,2021,3638.63,7,376190.0
285.32,3,2010,735.1,7,245914.0
198.42,4,1999,2904.12,1,342899.0
151.65,3,2011,1855.69,3,281530.0
191.83,3,2002,1782.36,2,284042.0
296.01,3,2006,2253.45,5,322129.0
198.52,4,1998,502.88,2,336256.6726666667
165.75,3,2013,2599.97,5,330958.0
226.68,4,2003,2689.55,5,336009.0
148.03,4,1997,4384.09,4,410309.0
115.17,2,2008,2518.37,7,317066.0
125.78,2,2017,2136.0,6,302284.0
125.61,3,2019,4976.36,2,435997.0
130.38,3,1996,3070.46,4,346619.0
127.77,4,2015,2626.76,7,320386.0
228.17,3,2000,2731.71,9,338344.0
136.38,3,2003,4141.32,9,402375.0
169.13,4,2010,2033.04,3,299459.0
279.36,3,1997,2251.22,1,321940.0
194.79,3,1992,3901.43,9,336256.6726666667
233.51,4,2017,828.43,8,245438.0
134.46,4,2018,4393.26,7,414860.0
138.46,2,2012,2435.91,6,312318.0
108.17,4,2007,3115.82,7,346154.0
133.79,2,2002,3908.64,9,380816.0
155.72,3,2001,1697.23,6,336256.6726666667
135.4,4,1994,4506.41,3,409542.0
117.74,4,2000,4906.51,3,438999.0
124.13,4,2000,2724.23,4,332923.0
192.16,3,2020,4716.22,8,436087.0
141.27,2,2020,505.08,9,221368.0
172.85,3,2002,4524.07,8,426140.0
200.68,3,2003,1899.7,2,292247.0
238.08,4,2014,1901.73,4,293836.0
107.86,2,2022,1526.4,4,336256.6726666667
259.88,3,2022,1926.56,2,298693.0
225.58,4,2004,1460.68,8,274506.0
116.35,3,2005,4576.41,3,420691.0
274.72,3,1995,4545.61,2,430756.0
284.17,4,2014,959.95,7,252722.0
112.22,4,2004,1142.86,1,241370.0
155.38,2,1993,4379.08,6,412642.0
261.24,3,1993,2295.22,3,317117.0
249.65,4,2019,1261.72,3,265747.0
136.9,4,2016,2798.01,5,335686.0
141.87,2,2020,2375.01,3,318555.0
174.09,2,2021,1486.23,4,336256.6726666667
196.9,4,1998,3743.38,3,386498.0
223.65,2,1997,3340.8,7,368351.0
173.78,4,2003,948.48,3,247118.0
192.51,3,2022,4664.24,4,429168.0
249.49,2,2012,3013.11,2,351056.0
107.34,3,2010,1625.92,2,336256.6726666667
150.49,3,2001,1428.31,9,258932.0
242.67,3,1991,1111.77,1,257266.0
279.04,4,2002,2410.87,1,323009.0
202.34,3,1993,1109.93,1,254516.0
206.42,3,2009,2371.17,3,310754.0
121.43,3,2003,1169.47,2,249736.0
189.48,4,2019,3455.63,3,370356.0
206.52,3,2018,4033.59,5,399886.0
148.49,3,1997,2972.85,9,336256.6726666667
153.85,2,2001,3560.26,2,369776.0
175.46,4,2015,4722.7,1,433868.0
104.01,3,1991,3372.67,6,356324.0
164.42,2,2003,2138.71,3,307170.0
142.29,4,1995,2522.66,7,319058.0
165.5,4,2020,4372.36,6,417020.0
123.95,4,2006,1088.24,7,248367.0
278.11,4,2014,1965.82,5,307948.0
218.72,4,2021,3097.76,1,356281.0
235.82,4,2001,3543.75,3,375029.0
257.83,3,2002,3935.75,3,401836.0
199.69,3,2008,1931.93,7,336256.6726666667
117.38,3,2014,1156.37,3,240269.0
207.42,3,2020,4796.78,5,434826.0
217.37,2,2014,843.76,4,244819.0
249.09,3,2005,931.12,4,253920.0
