Quartier,Surface,Chambres,AnneeConstruction,DistanceCentreVille,QualiteQuartier,Adresse,Prix
Elkasba,199.45,4,2016,3347.0,9,"77 Rue F, Tanger",267011.0
Almassira1,160.18,2,2009,1045.08,5,"94 Rue E, Tanger",153590.0
Sisalem,156.97,2,2004,1726.84,5,"8 Rue F, Marrakech",183481.0
Haycharaf,107.38,3,2016,2784.42,8,"75 Rue B, Rabat",225922.0
Alatlas,221.91,3,2017,1920.08,2,"7 Rue F, Tanger",201668.0
Alatlas,200.54,4,2014,4959.88,7,"95 Rue E, Béni Mellal",347315.0
Elhouda,110.3,2,2022,2441.44,9,"37 Rue D, Béni Mellal",216934.0
Elkasba,155.73,2,2003,4414.1,7,"17 Rue E, Béni Mellal",
Elkasba,281.65,3,1997,4534.29,5,"36 Rue C, Agadir",332264.0
Elhouda,147.91,4,2003,4262.03,6,"79 Rue C, Tanger",309463.0
Haycharaf,128.98,4,1990,711.04,4,"33 Rue A, Fes",128072.0
Taqaddom,197.89,3,2005,4764.86,7,"15 Rue E, Agadir",336440.0
Elkasba,297.13,2,2007,1079.34,1,"76 Rue F, Agadir",153854.0
Elkasba,148.41,3,1996,654.82,4,"85 Rue D, Tanger",124203.0
Taqaddom,234.43,3,2004,2364.66,3,"23 Rue C, Fes",216995.0
Elhouda,252.32,3,2013,1375.85,4,"31 Rue D, Agadir",166922.0
Taqaddom,147.53,3,2002,1328.88,1,"68 Rue A, Tanger",158008.0
Elkasba,245.64,2,1998,1795.19,2,"11 Rue B, Rabat",197653.0
Elhouda,173.56,3,2004,1617.83,9,"20 Rue D, Marrakech",
Taqaddom,226.46,2,2013,3581.58,7,"99 Rue D, Agadir",278015.0
Haycharaf,226.71,3,2022,1340.5,6,"85 Rue D, Fes",
Elhouda,207.15,4,2005,2944.03,2,"82 Rue B, Agadir",244766.0
Elkasba,118.06,2,1997,4938.92,1,"74 Rue F, Tanger",339960.0
Almassira1,267.06,4,2018,2445.72,2,"7 Rue F, Tanger",228736.0
Alatlas,164.16,3,2012,3388.43,7,"97 Rue A, Béni Mellal",263175.0
Elkasba,137.3,3,2020,4862.17,2,"22 Rue D, Marrakech",334861.0
RiadSalam,108.16,3,2003,1119.38,3,"61 Rue C, Marrakech",149502.0
Alatlas,218.18,2,2019,2383.73,8,"96 Rue E, Agadir",224746.0
Elkasba,235.51,4,2016,4325.87,7,"49 Rue F, Fes",316170.0
Alatlas,103.32,2,2005,4695.38,9,"50 Rue D, Tanger",324557.0
Sisalem,202.42,2,1995,3205.56,4,"19 Rue E, Marrakech",
Elkasba,145.3,3,2022,1145.39,7,"2 Rue C, Marrakech",
Elhouda,229.03,4,2007,4556.62,1,"49 Rue F, Tanger",332544.0
Elhouda,134.87,3,2005,1285.01,2,"68 Rue F, Béni Mellal",156517.0
Sisalem,238.19,2,2001,2087.95,7,"13 Rue E, Fes",212139.0
Haycharaf,177.35,3,2009,2189.79,2,"46 Rue D, Rabat",209799.0
Sisalem,287.35,4,2018,2512.81,6,"84 Rue C, Tanger",230843.0
Sisalem,127.5,3,2019,4055.75,9,"35 Rue C, Béni Mellal",295958.0
Alatlas,168.21,4,2015,4109.65,5,"33 Rue F, Rabat",298922.0
Taqaddom,122.69,4,2011,3738.45,7,"51 Rue D, Fes",277960.0
Elhouda,284.94,3,2022,599.58,1,"96 Rue B, Fes",139451.0
Taqaddom,275.47,2,2018,3041.8,8,"87 Rue E, Agadir",258930.0
Sisalem,151.59,3,2011,3863.72,9,"67 Rue C, Fes",294342.0
Haycharaf,232.0,2,2002,2500.81,5,"89 Rue B, Tanger",222775.0
Elhouda,263.44,2,1998,4752.21,6,"71 Rue A, Fes",341631.0
Elkasba,211.04,3,2013,4207.15,8,"2 Rue A, Béni Mellal",309039.0
Elkasba,205.93,2,2004,3371.7,4,"53 Rue A, Rabat",266720.0
Elkasba,148.37,2,2002,780.91,2,"14 Rue F, Marrakech",132895.0
Alatlas,118.62,3,2016,3435.56,8,"45 Rue B, Fes",261748.0
RiadSalam,279.44,3,1996,4602.11,2,"37 Rue C, Agadir",338354.0
Sisalem,280.08,3,1997,2207.5,5,"5 Rue A, Rabat",221251.0
RiadSalam,226.62,2,2003,4271.6,6,"12 Rue A, Rabat",307579.0
Almassira1,167.81,4,2001,1909.23,5,"85 Rue B, Rabat",
Alatlas,169.84,2,2006,3065.46,6,"82 Rue A, Fes",256839.0
Elkasba,245.19,4,2018,3417.91,6,"16 Rue A, Rabat",274932.0
Elhouda,279.42,3,2016,3550.98,3,"17 Rue D, Fes",281940.0
Alatlas,277.42,4,1990,4471.47,3,"98 Rue F, Rabat",326955.0
Elhouda,255.98,3,1993,1555.8,9,"24 Rue A, Fes",
Taqaddom,228.41,3,2013,1680.66,3,"24 Rue C, Tanger",186836.0
Taqaddom,116.83,4,2010,3668.18,3,"60 Rue F, Béni Mellal",273571.0
Elhouda,132.33,3,2022,1297.37,2,"82 Rue D, Tanger",157804.0
Elkasba,279.71,4,1996,2589.22,7,"99 Rue D, Fes",232337.0
RiadSalam,221.29,3,1990,590.15,4,"86 Rue C, Tanger",128138.0
Sisalem,101.84,2,1992,1134.41,1,"21 Rue A, Tanger",144569.0
Alatlas,120.29,2,2004,3554.81,6,"8 Rue D, Marrakech",269110.0
Alatlas,232.7,3,2020,3863.58,5,"43 Rue A, Tanger",291091.0
Elkasba,101.01,3,2005,1018.94,2,"34 Rue B, Marrakech",139633.0
Sisalem,132.16,4,1999,1524.69,6,"9 Rue D, Agadir",168125.0
Taqaddom,209.75,2,2018,945.07,1,"79 Rue D, Agadir",147645.0
RiadSalam,238.38,4,1995,2450.36,3,"83 Rue D, Béni Mellal",228498.0
Sisalem,230.39,3,2018,1067.52,4,"19 Rue E, Marrakech",155012.0
Taqaddom,144.85,3,2006,2467.83,3,"28 Rue E, Fes",213451.0
Sisalem,242.44,4,2011,3794.44,6,"14 Rue D, Fes",293058.0
Almassira1,147.45,3,2013,3575.25,4,"34 Rue A, Béni Mellal",270912.0
Alatlas,165.08,2,2006,1762.07,1,"10 Rue A, Rabat",181237.0
Almassira1,249.3,4,2010,3531.93,5,"94 Rue C, Marrakech",279176.0
Sisalem,229.93,2,2000,4674.7,5,"3 Rue D, Agadir",333310.0
Alatlas,269.84,2,1996,2063.86,9,"84 Rue F, Béni Mellal",204763.0
RiadSalam,231.52,2,1994,1981.04,8,"5 Rue F, Marrakech",198783.0
Elkasba,213.66,4,2010,3071.47,8,"35 Rue B, Fes",255350.0
Almassira1,118.73,3,2007,1604.76,5,"43 Rue D, Rabat",171860.0
Elkasba,173.54,2,2009,3432.11,8,"1 Rue E, Fes",265196.0
Taqaddom,153.04,2,2004,4245.18,7,"99 Rue D, Marrakech",304151.0
Taqaddom,148.8,2,1994,2566.93,1,"56 Rue D, Fes",222108.0
Haycharaf,294.6,3,2002,3557.78,7,"9 Rue E, Agadir",282156.0
Taqaddom,178.62,3,2001,3433.48,8,"1 Rue D, Fes",265784.0
Taqaddom,278.41,4,2010,674.0,3,"62 Rue A, Rabat",137974.0
Alatlas,226.23,3,1995,1325.37,9,"69 Rue C, Tanger",164249.0
RiadSalam,258.96,4,1996,4520.89,8,"88 Rue C, Marrakech",330273.0
Taqaddom,200.53,4,2015,4725.01,2,"8 Rue F, Fes",334455.0
Elhouda,215.38,4,1997,4011.98,6,"12 Rue C, Rabat",304756.0
RiadSalam,198.5,4,1998,4645.62,4,"44 Rue A, Marrakech",327161.0
Elhouda,139.05,4,2016,1877.67,3,"98 Rue C, Fes",191020.0
Elhouda,244.49,2,1993,1614.7,6,"26 Rue B, Rabat",183661.0
Elkasba,156.15,3,2010,2229.35,9,"6 Rue D, Fes",
Sisalem,104.86,2,2020,749.04,2,"25 Rue C, Fes",132045.0
Elhouda,229.09,4,2010,4144.42,5,"50 Rue A, Fes",
Elkasba,135.42,3,2014,4928.79,6,"89 Rue C, Marrakech",335546.0
Taqaddom,288.09,2,2004,4208.13,4,"11 Rue F, Marrakech",316442.0
Elhouda,290.79,2,2017,2997.39,7,"95 Rue B, Agadir",251331.0
Sisalem,282.97,4,2003,1828.77,2,"5 Rue B, Béni Mellal",199485.0
Haycharaf,174.03,2,1993,1389.64,7,"93 Rue E, Agadir",165859.0
Almassira1,103.09,2,2009,2138.28,2,"63 Rue D, Béni Mellal",195045.0
Elkasba,285.66,2,2001,3501.36,1,"70 Rue F, Tanger",279709.0
Haycharaf,185.64,2,2022,2511.78,5,"64 Rue E, Marrakech",220550.0
Elkasba,293.33,2,2013,4703.27,2,"3 Rue A, Tanger",342277.0
Almassira1,292.72,4,2009,4343.99,8,"8 Rue C, Fes",321708.0
Sisalem,270.6,4,1994,960.8,8,"6 Rue D, Béni Mellal",152823.0
RiadSalam,158.89,2,2019,1091.86,1,"28 Rue F, Fes",150952.0
Almassira1,177.02,4,2013,3543.08,4,"67 Rue D, Fes",276136.0
Alatlas,270.23,4,1996,1538.46,9,"69 Rue B, Fes",183250.0
Haycharaf,163.38,3,2005,4059.63,5,"75 Rue B, Béni Mellal",297526.0
Elhouda,133.9,2,2004,3161.11,6,"5 Rue F, Agadir",252089.0
Taqaddom,211.36,4,2012,1534.24,3,"63 Rue F, Béni Mellal",
Alatlas,287.23,4,2001,2654.09,5,"61 Rue E, Béni Mellal",239606.0
Elhouda,239.21,2,2018,2327.34,1,"32 Rue F, Fes",215777.0
Elhouda,214.01,3,2004,4429.22,8,"17 Rue A, Agadir",317822.0
Elkasba,119.44,2,2018,644.73,6,"81 Rue A, Tanger",124970.0
Almassira1,223.0,3,2010,4531.3,2,"13 Rue D, Rabat",328879.0
RiadSalam,298.01,2,2004,3434.37,4,"22 Rue E, Béni Mellal",277226.0
Haycharaf,128.02,2,2003,3818.92,4,"14 Rue A, Marrakech",286501.0
Elhouda,203.67,2,2005,511.73,9,"77 Rue E, Agadir",131397.0
Elkasba,275.47,2,2004,3327.08,9,"9 Rue B, Marrakech",277207.0
Haycharaf,248.15,3,1993,3148.19,5,"44 Rue F, Fes",259198.0
Almassira1,239.4,3,2016,2917.43,3,"52 Rue C, Béni Mellal",247193.0
RiadSalam,240.5,4,2012,4036.4,1,"88 Rue E, Rabat",306735.0
Alatlas,171.9,2,2018,3001.42,6,"18 Rue C, Agadir",248789.0
Almassira1,158.72,3,1998,4356.94,8,"98 Rue A, Rabat",309397.0
Taqaddom,261.87,3,1996,1546.84,1,"23 Rue C, Béni Mellal",180359.0
Almassira1,262.02,3,1993,4126.92,1,"16 Rue C, Agadir",311967.0
Elhouda,273.41,2,1994,1306.91,7,"97 Rue D, Agadir",167564.0
RiadSalam,282.65,4,1994,4159.03,7,"90 Rue C, Rabat",311646.0
Almassira1,202.27,3,2000,4732.09,2,"22 Rue D, Agadir",333413.0
Elhouda,200.3,2,2017,2010.62,3,"75 Rue A, Agadir",198380.0
Elhouda,259.66,3,2005,2884.49,2,"13 Rue F, Rabat",
RiadSalam,229.99,3,2019,3462.48,6,"49 Rue B, Béni Mellal",277247.0
Almassira1,240.39,4,1993,857.62,8,"63 Rue A, Béni Mellal",142814.0
Almassira1,259.16,3,1991,2723.36,8,"1 Rue B, Béni Mellal",240425.0
Elkasba,278.0,3,1992,2122.63,1,"91 Rue F, Rabat",
Haycharaf,167.6,2,2010,4426.05,9,"37 Rue D, Fes",314391.0
Elkasba,175.12,2,1995,4445.06,8,"99 Rue D, Fes",313105.0
Almassira1,118.8,4,2007,3653.51,9,"17 Rue B, Agadir",274745.0
Alatlas,215.66,2,1994,3450.76,9,"82 Rue C, Rabat",271040.0
Almassira1,107.19,2,1998,3801.6,6,"58 Rue D, Agadir",
Taqaddom,193.12,4,2009,2146.94,3,"23 Rue E, Fes",
Elhouda,208.53,3,2017,2320.34,1,"5 Rue E, Agadir",209683.0
Sisalem,157.31,4,2015,2991.67,8,"92 Rue D, Rabat",244428.0
Almassira1,218.17,2,2007,4721.13,3,"12 Rue F, Tanger",339437.0
Taqaddom,106.1,4,2008,3758.0,7,"45 Rue D, Béni Mellal",282811.0
Taqaddom,107.47,3,1992,2979.45,6,"72 Rue B, Agadir",233413.0
Haycharaf,264.52,4,1998,3966.86,3,"16 Rue E, Béni Mellal",306056.0
RiadSalam,172.04,2,2020,2169.01,6,"80 Rue C, Rabat",202196.0
Almassira1,125.41,2,2006,3787.1,3,"65 Rue B, Marrakech",283340.0
RiadSalam,204.45,4,2012,2348.04,9,"99 Rue F, Fes",215466.0
Alatlas,254.0,3,1994,1758.48,1,"27 Rue C, Béni Mellal",193119.0
Sisalem,143.16,4,2004,3243.76,8,"25 Rue A, Agadir",
Taqaddom,224.58,3,1992,3590.95,5,"88 Rue D, Marrakech",275659.0
Elhouda,117.07,3,2008,2566.82,4,"23 Rue B, Fes",217938.0
Elhouda,110.34,4,2017,3044.75,1,"6 Rue A, Fes",244899.0
RiadSalam,206.27,3,1992,3623.3,9,"47 Rue C, Agadir",278877.0
Taqaddom,208.13,2,1993,3954.7,9,"56 Rue C, Tanger",
Haycharaf,227.49,4,2013,4530.07,5,"79 Rue D, Béni Mellal",324313.0
RiadSalam,245.22,3,2020,2095.45,9,"14 Rue F, Béni Mellal",205949.0
Sisalem,295.17,2,2000,4781.65,9,"69 Rue B, Agadir",343834.0
RiadSalam,203.26,4,1990,3367.76,7,"4 Rue D, Rabat",
Taqaddom,164.59,2,1998,4044.66,8,"15 Rue A, Agadir",296370.0
Almassira1,259.04,2,2006,3648.96,1,"93 Rue D, Rabat",
Haycharaf,154.17,2,1990,1425.07,4,"75 Rue C, Marrakech",164579.0
Taqaddom,187.79,3,1992,821.47,4,"26 Rue F, Fes",139760.0
Haycharaf,115.69,4,2015,3768.29,9,"42 Rue B, Béni Mellal",282168.0
Elkasba,105.07,4,2020,2799.74,3,"42 Rue B, Béni Mellal",229193.0
Elkasba,292.53,3,2015,3659.96,1,"31 Rue F, Marrakech",289469.0
Elhouda,267.2,4,2012,2645.79,5,"26 Rue D, Agadir",239375.0
Haycharaf,239.19,2,2019,1905.06,7,"10 Rue D, Rabat",
Sisalem,181.79,4,1999,1782.58,4,"63 Rue A, Marrakech",184388.0
RiadSalam,134.66,3,1997,3787.39,9,"19 Rue B, Rabat",284025.0
Elkasba,131.29,2,2014,1745.51,6,"59 Rue B, Marrakech",178420.0
RiadSalam,150.05,3,2011,3716.05,6,"48 Rue B, Marrakech",281075.0
RiadSalam,209.85,2,2004,2227.82,3,"93 Rue B, Fes",206039.0
Sisalem,242.92,2,1999,3969.04,5,"46 Rue C, Agadir",302466.0
Taqaddom,232.04,4,2009,1142.64,6,"43 Rue B, Béni Mellal",158453.0
RiadSalam,155.99,2,2012,1422.41,4,"89 Rue E, Béni Mellal",167250.0
Haycharaf,290.97,3,1990,3586.6,3,"36 Rue B, Béni Mellal",288910.0
Sisalem,247.58,4,1991,3021.04,5,"60 Rue D, Marrakech",252603.0
Elkasba,210.87,3,2008,1417.45,7,"22 Rue C, Agadir",166205.0
Almassira1,222.34,2,2003,4562.72,6,"38 Rue E, Agadir",327671.0
RiadSalam,183.92,3,1997,1741.75,2,"82 Rue E, Agadir",187549.0
Elhouda,149.55,3,2001,2394.82,1,"74 Rue E, Agadir",214085.0
Sisalem,171.19,2,2015,1410.3,5,"12 Rue D, Rabat",163769.0
Taqaddom,251.57,4,2016,2246.12,5,"63 Rue B, Rabat",215636.0
Alatlas,102.88,3,2018,2712.41,6,"61 Rue D, Tanger",227648.0
Elkasba,123.21,2,2004,1828.61,3,"2 Rue F, Marrakech",182643.0
Elkasba,109.2,4,1990,3960.92,1,"95 Rue B, Agadir",287446.0
Alatlas,108.15,4,2017,2272.7,4,"42 Rue D, Rabat",202487.0
Haycharaf,271.09,4,1992,3782.79,4,"29 Rue E, Agadir",291897.0
Almassira1,240.73,3,2007,1431.82,2,"74 Rue A, Marrakech",174589.0
Elkasba,194.83,3,2021,2196.66,8,"6 Rue A, Marrakech",210370.0
Elkasba,119.57,3,2018,536.26,6,"94 Rue E, Béni Mellal",118359.0
Taqaddom,198.32,4,2014,3913.87,3,"55 Rue E, Marrakech",293150.0
Elkasba,194.69,3,2015,3316.49,1,"62 Rue F, Béni Mellal",266551.0
Sisalem,134.64,2,1997,4180.2,3,"58 Rue D, Agadir",300077.0
Haycharaf,186.77,3,2008,2550.25,8,"11 Rue E, Béni Mellal",
Almassira1,179.7,3,2011,4098.83,4,"89 Rue F, Marrakech",303639.0
